Add:         001607A Bypass Cereb Vent to Subgaleal with Autol Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Autologous Tissue Substitute, Open Approach
Add:         00160JA Bypass Cereb Vent to Subgaleal with Synth Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Synthetic Substitute, Open Approach
Delete:      047K466 Dilate R Fem Art, Bifurc, w 3 Drug-elut, Perc Endo           Dilation of Right Femoral Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047K476 Dilate R Fem Art, Bifurc, w 4 Drug-elut, Perc Endo           Dilation of Right Femoral Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047K4D6 Dilate R Fem Art, Bifurc, w Intralum Dev, Perc Endo          Dilation of Right Femoral Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047K4E6 Dilate R Fem Art, Bifurc, w 2 Intralum Dev, Perc Endo        Dilation of Right Femoral Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047K4F6 Dilate R Fem Art, Bifurc, w 3 Intralum Dev, Perc Endo        Dilation of Right Femoral Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047K4G6 Dilate R Fem Art, Bifurc, w 4+ Intralum Dev, Perc Endo       Dilation of Right Femoral Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047K4Z6 Dilation of Right Femoral Artery, Bifurc, Perc Endo Approach Dilation of Right Femoral Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      047L046 Dilation of L Fem Art, Bifurc, with Drug-elut, Open Approach Dilation of Left Femoral Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      047L056 Dilate of L Fem Art, Bifurc, with 2 Drug-elut, Open Approach Dilation of Left Femoral Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      047L066 Dilate of L Fem Art, Bifurc, with 3 Drug-elut, Open Approach Dilation of Left Femoral Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      047L076 Dilate of L Fem Art, Bifurc, with 4 Drug-elut, Open Approach Dilation of Left Femoral Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      047L0D6 Dilate L Fem Art, Bifurc, w Intralum Dev, Open               Dilation of Left Femoral Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      047L0E6 Dilate L Fem Art, Bifurc, w 2 Intralum Dev, Open             Dilation of Left Femoral Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      047L0F6 Dilate L Fem Art, Bifurc, w 3 Intralum Dev, Open             Dilation of Left Femoral Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      047L0G6 Dilate L Fem Art, Bifurc, w 4+ Intralum Dev, Open            Dilation of Left Femoral Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      047L0Z6 Dilation of Left Femoral Artery, Bifurcation, Open Approach  Dilation of Left Femoral Artery, Bifurcation, Open Approach
Delete:      047L346 Dilation of L Fem Art, Bifurc, with Drug-elut, Perc Approach Dilation of Left Femoral Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      047L356 Dilate of L Fem Art, Bifurc, with 2 Drug-elut, Perc Approach Dilation of Left Femoral Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047L366 Dilate of L Fem Art, Bifurc, with 3 Drug-elut, Perc Approach Dilation of Left Femoral Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047L376 Dilate of L Fem Art, Bifurc, with 4 Drug-elut, Perc Approach Dilation of Left Femoral Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047L3D6 Dilate L Fem Art, Bifurc, w Intralum Dev, Perc               Dilation of Left Femoral Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      047L3E6 Dilate L Fem Art, Bifurc, w 2 Intralum Dev, Perc             Dilation of Left Femoral Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      047L3F6 Dilate L Fem Art, Bifurc, w 3 Intralum Dev, Perc             Dilation of Left Femoral Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      047L3G6 Dilate L Fem Art, Bifurc, w 4+ Intralum Dev, Perc            Dilation of Left Femoral Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      047L3Z6 Dilation of Left Femoral Artery, Bifurcation, Perc Approach  Dilation of Left Femoral Artery, Bifurcation, Percutaneous Approach
Delete:      047L446 Dilate L Fem Art, Bifurc, w Drug-elut, Perc Endo             Dilation of Left Femoral Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047L456 Dilate L Fem Art, Bifurc, w 2 Drug-elut, Perc Endo           Dilation of Left Femoral Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047L466 Dilate L Fem Art, Bifurc, w 3 Drug-elut, Perc Endo           Dilation of Left Femoral Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047L476 Dilate L Fem Art, Bifurc, w 4 Drug-elut, Perc Endo           Dilation of Left Femoral Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047L4D6 Dilate L Fem Art, Bifurc, w Intralum Dev, Perc Endo          Dilation of Left Femoral Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047L4E6 Dilate L Fem Art, Bifurc, w 2 Intralum Dev, Perc Endo        Dilation of Left Femoral Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047L4F6 Dilate L Fem Art, Bifurc, w 3 Intralum Dev, Perc Endo        Dilation of Left Femoral Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047L4G6 Dilate L Fem Art, Bifurc, w 4+ Intralum Dev, Perc Endo       Dilation of Left Femoral Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047L4Z6 Dilation of Left Femoral Artery, Bifurc, Perc Endo Approach  Dilation of Left Femoral Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      047M046 Dilate of R Popl Art, Bifurc, with Drug-elut, Open Approach  Dilation of Right Popliteal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      047M056 Dilate R Popl Art, Bifurc, w 2 Drug-elut, Open               Dilation of Right Popliteal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      047M066 Dilate R Popl Art, Bifurc, w 3 Drug-elut, Open               Dilation of Right Popliteal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      047M076 Dilate R Popl Art, Bifurc, w 4 Drug-elut, Open               Dilation of Right Popliteal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      047M0D6 Dilate R Popl Art, Bifurc, w Intralum Dev, Open              Dilation of Right Popliteal Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      047M0E6 Dilate R Popl Art, Bifurc, w 2 Intralum Dev, Open            Dilation of Right Popliteal Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      047M0F6 Dilate R Popl Art, Bifurc, w 3 Intralum Dev, Open            Dilation of Right Popliteal Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      047M0G6 Dilate R Popl Art, Bifurc, w 4+ Intralum Dev, Open           Dilation of Right Popliteal Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      047M0Z6 Dilation of Right Popliteal Artery, Bifurc, Open Approach    Dilation of Right Popliteal Artery, Bifurcation, Open Approach
Delete:      047M346 Dilate of R Popl Art, Bifurc, with Drug-elut, Perc Approach  Dilation of Right Popliteal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      047M356 Dilate R Popl Art, Bifurc, w 2 Drug-elut, Perc               Dilation of Right Popliteal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047M366 Dilate R Popl Art, Bifurc, w 3 Drug-elut, Perc               Dilation of Right Popliteal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047M376 Dilate R Popl Art, Bifurc, w 4 Drug-elut, Perc               Dilation of Right Popliteal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047M3D6 Dilate R Popl Art, Bifurc, w Intralum Dev, Perc              Dilation of Right Popliteal Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      047M3E6 Dilate R Popl Art, Bifurc, w 2 Intralum Dev, Perc            Dilation of Right Popliteal Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      047M3F6 Dilate R Popl Art, Bifurc, w 3 Intralum Dev, Perc            Dilation of Right Popliteal Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      047M3G6 Dilate R Popl Art, Bifurc, w 4+ Intralum Dev, Perc           Dilation of Right Popliteal Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      047M3Z6 Dilation of Right Popliteal Artery, Bifurc, Perc Approach    Dilation of Right Popliteal Artery, Bifurcation, Percutaneous Approach
Delete:      047M446 Dilate R Popl Art, Bifurc, w Drug-elut, Perc Endo            Dilation of Right Popliteal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047M456 Dilate R Popl Art, Bifurc, w 2 Drug-elut, Perc Endo          Dilation of Right Popliteal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047M466 Dilate R Popl Art, Bifurc, w 3 Drug-elut, Perc Endo          Dilation of Right Popliteal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047M476 Dilate R Popl Art, Bifurc, w 4 Drug-elut, Perc Endo          Dilation of Right Popliteal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047M4D6 Dilate R Popl Art, Bifurc, w Intralum Dev, Perc Endo         Dilation of Right Popliteal Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047M4E6 Dilate R Popl Art, Bifurc, w 2 Intralum Dev, Perc Endo       Dilation of Right Popliteal Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047M4F6 Dilate R Popl Art, Bifurc, w 3 Intralum Dev, Perc Endo       Dilation of Right Popliteal Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047M4G6 Dilate R Popl Art, Bifurc, w 4+ Intralum Dev, Perc Endo      Dilation of Right Popliteal Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047M4Z6 Dilation of R Popl Art, Bifurc, Perc Endo Approach           Dilation of Right Popliteal Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      047N046 Dilate of L Popl Art, Bifurc, with Drug-elut, Open Approach  Dilation of Left Popliteal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      047N056 Dilate L Popl Art, Bifurc, w 2 Drug-elut, Open               Dilation of Left Popliteal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      047N066 Dilate L Popl Art, Bifurc, w 3 Drug-elut, Open               Dilation of Left Popliteal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      047N076 Dilate L Popl Art, Bifurc, w 4 Drug-elut, Open               Dilation of Left Popliteal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      047N0D6 Dilate L Popl Art, Bifurc, w Intralum Dev, Open              Dilation of Left Popliteal Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      047N0E6 Dilate L Popl Art, Bifurc, w 2 Intralum Dev, Open            Dilation of Left Popliteal Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      047N0F6 Dilate L Popl Art, Bifurc, w 3 Intralum Dev, Open            Dilation of Left Popliteal Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      047N0G6 Dilate L Popl Art, Bifurc, w 4+ Intralum Dev, Open           Dilation of Left Popliteal Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      047N0Z6 Dilation of Left Popliteal Artery, Bifurc, Open Approach     Dilation of Left Popliteal Artery, Bifurcation, Open Approach
Delete:      047N346 Dilate of L Popl Art, Bifurc, with Drug-elut, Perc Approach  Dilation of Left Popliteal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      047N356 Dilate L Popl Art, Bifurc, w 2 Drug-elut, Perc               Dilation of Left Popliteal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047N366 Dilate L Popl Art, Bifurc, w 3 Drug-elut, Perc               Dilation of Left Popliteal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047N376 Dilate L Popl Art, Bifurc, w 4 Drug-elut, Perc               Dilation of Left Popliteal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      047N3D6 Dilate L Popl Art, Bifurc, w Intralum Dev, Perc              Dilation of Left Popliteal Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      047N3E6 Dilate L Popl Art, Bifurc, w 2 Intralum Dev, Perc            Dilation of Left Popliteal Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      047N3F6 Dilate L Popl Art, Bifurc, w 3 Intralum Dev, Perc            Dilation of Left Popliteal Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      047N3G6 Dilate L Popl Art, Bifurc, w 4+ Intralum Dev, Perc           Dilation of Left Popliteal Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      047N3Z6 Dilation of Left Popliteal Artery, Bifurc, Perc Approach     Dilation of Left Popliteal Artery, Bifurcation, Percutaneous Approach
Delete:      047N446 Dilate L Popl Art, Bifurc, w Drug-elut, Perc Endo            Dilation of Left Popliteal Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047N456 Dilate L Popl Art, Bifurc, w 2 Drug-elut, Perc Endo          Dilation of Left Popliteal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047N466 Dilate L Popl Art, Bifurc, w 3 Drug-elut, Perc Endo          Dilation of Left Popliteal Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047N476 Dilate L Popl Art, Bifurc, w 4 Drug-elut, Perc Endo          Dilation of Left Popliteal Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047N4D6 Dilate L Popl Art, Bifurc, w Intralum Dev, Perc Endo         Dilation of Left Popliteal Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      047N4E6 Dilate L Popl Art, Bifurc, w 2 Intralum Dev, Perc Endo       Dilation of Left Popliteal Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047N4F6 Dilate L Popl Art, Bifurc, w 3 Intralum Dev, Perc Endo       Dilation of Left Popliteal Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047N4G6 Dilate L Popl Art, Bifurc, w 4+ Intralum Dev, Perc Endo      Dilation of Left Popliteal Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      047N4Z6 Dilation of L Popl Art, Bifurc, Perc Endo Approach           Dilation of Left Popliteal Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      047P046 Dilate R Ant Tib Art, Bifurc, w Drug-elut, Open              Dilation of Right Anterior Tibial Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
